ra_rad,dec_rad,mag
1.17187934470233,0.27859221264902,3.936
1.1722606382319,0.276999142430311,3.407
1.16215216122151,0.272590454702408,4.504
1.2185672606838,0.277821133166806,4.686
1.14726983799899,0.306174650542882,3.86
1.15233620802602,0.304457579567741,4.81
1.15841778354451,0.312900976168873,4.262
1.12251297227425,0.359164170291135,4.947
1.17206122284568,0.334761699430593,3.635
1.15789265533689,0.389101503975692,4.215
1.35131835831506,0.272223101990238,4.85
1.32893365631956,0.268852351620119,4.652
1.34150421013907,0.325417574356289,4.986
1.32250481630499,0.376815906921563,4.633
1.48918153475018,0.288575238010764,4.816
1.44955060173388,0.32453065859335,4.639
1.42957633242947,0.382872275871404,4.844
1.47325306990066,0.369007793412995,2.931
1.62339474984824,0.281528648481289,4.923
1.54628723900634,0.353886347342047,4.462
1.58789951289914,0.35148220132692,4.662
1.69717182847293,0.352768294135609,4.102
1.91154124388852,0.288684157551663,3.575
1.85052397246451,0.359019338855547,4.05
1.92039950595099,0.383664205405928,3.559
2.28937024270784,0.3168524679179,4.048
2.28326490906943,0.374695986204326,4.654
2.64998818726835,0.292563700545737,3.49
2.70410906329713,0.339831523987805,4.834
2.88995804328297,0.352204656285239,4.405
2.9419273908563,0.269296814374905,3.304
2.94134651002558,0.358211739231399,2.544
3.08916993771917,0.352886943712554,4.585
3.23198812589186,0.310544225442249,4.835
3.39869729105504,0.30385215207736,4.922
3.44697341494247,0.30594652012715,4.427
3.60961308891483,0.304680362469178,4.536
3.61927770164383,0.275725559094503,4.21
3.75138411199944,0.284609996208824,4.981
3.64200127816315,0.321114964773262,2.719
3.86259259531443,0.296082479969167,4.71
3.8428926947355,0.286554133123387,4.877
3.88941431452412,0.333368795438742,4.757
4.12852220722452,0.26916152238541,3.653
4.17330078588779,0.273398734481365,3.882
4.10829092579592,0.343313325120372,4.513
4.13965749197711,0.316630039318302,4.273
4.15067723383883,0.366133766365987,4.914
4.28443731189572,0.334283318819788,3.761
4.32065402345169,0.37506507482097,2.86
4.71263734440244,0.292358661883207,4.806
4.71896361787459,0.37691742015778,4.852
4.75060375237326,0.363282530002885,4.319
4.81579180045885,0.379953810123647,3.975
4.97254179768944,0.262991398809042,4.129
4.91755730796309,0.317327295212881,4.356
4.9116274423973,0.358600696152649,4.243
5.14914246908251,0.31440172911666,4.458
5.15329832195726,0.305014522509633,4.488
5.12507911621923,0.34511095717766,4.974
5.0449498847293,0.373333369085518,4.739
5.29828283705759,0.265248331712285,4.954
