Sector,IndexInSector,IndexInGroup,Declination,RightAscension,matrixX,matrixY
117,1543,1,0.000479169324123497,1.55954186992947,90,249
130,16,1,0.000253951976408978,1.57313026465716,290,253
130,46,1,0.00154843730502545,1.5724633930287,280,234
130,118,1,0.00737079707595979,1.58449892056653,457,149
130,261,1,0.000644355205780706,1.58217042759449,422,247
130,271,1,0.00176091103847632,1.5766926037571,342,231
130,307,1,0.00921684771036694,1.58495098797281,463,122
130,328,1,0.0163842506054084,1.57467326745036,313,16
130,361,1,0.00590648772475506,1.57804844042163,362,170
130,373,1,0.00921416952450166,1.57760370981194,356,122
130,375,1,0.00469164844534043,1.57593811925187,331,188
130,381,1,0.00612009273674707,1.58294026344032,434,167
130,389,1,0.0094341679309688,1.57457173411067,311,118
130,420,1,0.0170345278290496,1.58052300308303,399,7
130,513,1,0.00436483685930555,1.58673773829158,489,193
130,521,1,0.000509882445326323,1.58741102883167,499,250
130,560,1,0.0160068625633957,1.5856244083793,474,22
130,617,1,0.00365988565151267,1.57439310088776,308,203
130,637,1,0.00229187523444333,1.57358162290714,296,223
130,641,1,0.00254961112329115,1.57581323594021,329,219
130,665,1,0.00425672550785711,1.58178211853781,417,194
130,739,1,0.00328523731594061,1.57496339871427,317,208
130,787,1,0.00128872374748367,1.57500183994181,317,238
130,793,1,0.000321634066111023,1.57250258218122,281,252
130,795,1,0.00153896531999343,1.57525470241589,321,234
130,797,1,0.00230560402216871,1.58232020723817,425,223
130,817,1,0.00864779260408828,1.58587050390708,477,130
130,825,1,0.00539755892940857,1.57728269224006,351,178
130,847,1,0.000838260154328092,1.58776645743939,504,245
130,929,1,0.0137575502303653,1.57776490802844,358,55
130,957,1,0.016136237048938,1.58750027208304,501,20
130,1059,1,0.0161426495547003,1.58074704512897,402,20
130,1064,1,0.0150584051602312,1.57949507367737,384,36
130,1089,1,0.0128610584977239,1.57669627219634,342,68
130,1180,1,0.0123510617448207,1.58702681125042,494,76
130,1188,1,0.0127072130599423,1.58303637696176,435,71
130,1306,1,0.0117018411425385,1.57438479651723,309,85
130,1356,1,0.0119493229553124,1.5810224083989,406,82
130,1376,1,0.0122880369802718,1.57253274428303,281,76
130,1442,1,0.0145084390636518,1.58658784318517,488,44
130,1470,1,0.0104764921296756,1.57335555551002,293,103
130,1478,1,0.0154480935161708,1.57402088070742,303,30
130,1482,1,0.010290683841314,1.57664832406674,342,106
130,1524,1,0.0119681399113634,1.58533006459416,469,81
130,1596,1,0.00965699073676999,1.57927586566403,380,115
130,1601,1,0.0101709375120619,1.5767307132517,343,108
